,numeric,alpha3,name,gdp,population,name_deu
121,428,LVA,Latvia,31285533217,1989354,Latvia
122,422,LBN,Lebanon,49630856940,5612096,Lebanon
123,426,LSO,Lesotho,2080536397,2109197,Lesotho
124,430,LBR,Liberia,2122000000,4396554,Liberia
125,434,LBY,Libya,41319258101,6258984,Libya
126,438,LIE,Liechtenstein,5855392374,37286,Liechtenstein
127,440,LTU,Lithuania,48392319442,2916798,Lithuania
128,442,LUX,Luxembourg,64873963098,556573,Luxembourg
129,446,MAC,Macao,55501545048,577914,Macao
130,807,MKD,"Macedonia,,the,Former,Yugoslav,Republic,of",11318959431,2075625,Macedonia  the Former Yugoslav Republic of
131,450,MDG,Madagascar,10673517838,23571713,Madagascar
132,454,MWI,Malawi,5720080522,16695253,Malawi
133,458,MYS,Malaysia,3.26933E11,29901997,Malaysia
134,462,MDV,Maldives,3032239478,357415,Maldives
135,466,MLI,Mali,11978738474,17086022,Mali
136,470,MLT,Malta,10535990657,417723,Malta
137,584,MHL,"Marshall,Islands",208814181,52898,Marshall Islands
138,474,MTQ,Martinique,#NV,#NV,Martinique
139,478,MRT,Mauritania,5092179849,3969625,Mauritania
140,480,MUS,Mauritius,12616414222,1268567,Mauritius
141,175,MYT,Mayotte,#NV,#NV,Mayotte
142,484,MEX,Mexico,1.29469E12,125385833,Mexico
143,583,FSM,"Micronesia,,Federated,States,of",308000000,104044,Micronesia  Federated States of
144,498,MDA,"Moldova,,Republic,of",7944167914,4072340,Moldova  Republic of
145,492,MCO,Monaco,7059948256,37623,Monaco
146,496,MNG,Mongolia,12067051157,2909871,Mongolia
147,499,MNE,Montenegro,4587741791,625292,Montenegro
148,500,MSR,Montserrat,6.308518519E7,5094,Montserrat
149,504,MAR,Morocco,1.10009E11,33921203,Morocco
150,508,MOZ,Mozambique,17080913408,27216276,Mozambique
151,104,MMR,Myanmar,66477754856,53437159,Myanmar
152,516,NAM,Namibia,13429307309,2402858,Namibia
153,520,NRU,Nauru,181710650,10176,Nauru
154,524,NPL,Nepal,19489214387,28174724,Nepal
155,528,NLD,Netherlands,8.79319E11,16868020,Netherlands
156,540,NCL,"New,Caledonia",10233914888,259800,New Caledonia
157,554,NZL,"New,Zealand",1.98652E11,4495482,New Zealand
158,558,NIC,Nicaragua,11805641121,6013913,Nicaragua
159,562,NER,Niger,8168698935,19113728,Niger
160,566,NGA,Nigeria,5.68499E11,177475986,Nigeria
161,570,NIU,Niue,#NV,#NV,Niue
162,574,NFK,"Norfolk,Island",#NV,#NV,Norfolk Island
163,580,MNP,"Northern,Mariana,Islands",#NV,#NV,Northern Mariana Islands
164,578,NOR,Norway,5.00519E11,5147970,Norway
165,512,OMN,Oman,81796618986,4236057,Oman
166,586,PAK,Pakistan,2.51255E11,185044286,Pakistan
167,585,PLW,Palau,233500000,21097,Palau
168,275,PSE,"Palestine,,State,of",12765800000,4542059,Palestine  State of
169,591,PAN,Panama,49166000000,3867535,Panama
170,598,PNG,"Papua,New,Guinea",16576155295,7463577,Papua New Guinea
171,600,PRY,Paraguay,30984748095,6552518,Paraguay
172,604,PER,Peru,2.01809E11,30973148,Peru
173,608,PHL,Philippines,2.84582E11,99138690,Philippines
174,612,PCN,Pitcairn,#NV,#NV,Pitcairn
175,616,POL,Poland,5.44959E11,38619974,Poland
176,620,PRT,Portugal,2.30117E11,10402343,Portugal
177,630,PRI,"Puerto,Rico",1.03676E11,3686517,Puerto Rico
178,634,QAT,Qatar,2.11817E11,2172065,Qatar
179,642,ROU,Romania,1.38347E11,9889540,Romania
180,643,RUS,"Russian,Federation",1.84994E12,143429435,Russian Federation
181,646,RWA,Rwanda,7903362002,11341544,Rwanda
182,638,REU,Réunion,#NV,#NV,Réunion
183,652,BLM,"Saint,Barthélemy",#NV,#NV,Saint Barthélemy
